Task ID,Task Name,Task Category,Task Description,Task Check,Task Virtual Reward,Task Real Reward
656,Governance Task 656: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"156 XP, 26 coins",None
657,Governance Task 657: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"157 XP, 27 coins",None
658,Social Task 658: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"158 XP, 28 coins",None
659,Exploration Task 659: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"159 XP, 29 coins",None
660,Social Task 660: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"160 XP, 20 coins","Exclusive knowledge, priority access to research"
661,Survival Task 661: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"161 XP, 21 coins",None
662,Fitness Task 662: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"162 XP, 22 coins",None
663,Spiritual Task 663: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"163 XP, 23 coins",None
664,Engineering Task 664: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"164 XP, 24 coins",None
665,Engineering Task 665: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"165 XP, 25 coins",None
666,Creative Task 666: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"166 XP, 26 coins",None
667,Innovation Task 667: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"167 XP, 27 coins",None
668,Spiritual Task 668: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"168 XP, 28 coins",None
669,Spiritual Task 669: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"169 XP, 29 coins",None
670,Social Task 670: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"170 XP, 20 coins",None
671,Creative Task 671: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"171 XP, 21 coins",None
672,Governance Task 672: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"172 XP, 22 coins",None
673,Innovation Task 673: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"173 XP, 23 coins",None
674,Engineering Task 674: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"174 XP, 24 coins",None
675,Social Task 675: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"100 XP, 25 coins",None
676,Spiritual Task 676: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"101 XP, 26 coins",None
677,Exploration Task 677: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"102 XP, 27 coins",None
678,Engineering Task 678: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"103 XP, 28 coins",None
679,Education Task 679: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"104 XP, 29 coins",None
680,Survival Task 680: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"105 XP, 20 coins","Exclusive knowledge, priority access to research"
681,Spiritual Task 681: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"106 XP, 21 coins",None
682,Exploration Task 682: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"107 XP, 22 coins",None
683,Spiritual Task 683: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"108 XP, 23 coins",None
684,Creative Task 684: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"109 XP, 24 coins",None
685,Fitness Task 685: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"110 XP, 25 coins",None
686,Exploration Task 686: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"111 XP, 26 coins",None
687,Social Task 687: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"112 XP, 27 coins",None
688,Governance Task 688: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"113 XP, 28 coins",None
689,Education Task 689: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"114 XP, 29 coins",None
690,Fitness Task 690: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"115 XP, 20 coins",None
691,Governance Task 691: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"116 XP, 21 coins",None
692,Fitness Task 692: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"117 XP, 22 coins",None
693,Education Task 693: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"118 XP, 23 coins",None
694,Creative Task 694: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"119 XP, 24 coins",None
695,Exploration Task 695: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"120 XP, 25 coins",None
696,Innovation Task 696: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"121 XP, 26 coins",None
697,Survival Task 697: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"122 XP, 27 coins",None
698,Creative Task 698: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"123 XP, 28 coins",None
699,Fitness Task 699: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"124 XP, 29 coins",None
700,Education Task 700: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"125 XP, 20 coins","Exclusive knowledge, priority access to research"
701,Fitness Task 701: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"126 XP, 21 coins",None
702,Social Task 702: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"127 XP, 22 coins",None
703,Social Task 703: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"128 XP, 23 coins",None
704,Creative Task 704: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"129 XP, 24 coins",None
705,Survival Task 705: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"130 XP, 25 coins",None
706,Spiritual Task 706: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"131 XP, 26 coins",None
707,Exploration Task 707: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"132 XP, 27 coins",None
708,Creative Task 708: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"133 XP, 28 coins",None
709,Governance Task 709: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"134 XP, 29 coins",None
710,Innovation Task 710: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"135 XP, 20 coins",None
711,Governance Task 711: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"136 XP, 21 coins",None
712,Education Task 712: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"137 XP, 22 coins",None
713,Governance Task 713: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"138 XP, 23 coins",None
714,Fitness Task 714: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"139 XP, 24 coins",None
715,Innovation Task 715: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"140 XP, 25 coins",None
716,Education Task 716: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"141 XP, 26 coins",None
717,Fitness Task 717: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"142 XP, 27 coins",None
718,Spiritual Task 718: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"143 XP, 28 coins",None
719,Innovation Task 719: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"144 XP, 29 coins",None
720,Exploration Task 720: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"145 XP, 20 coins","Exclusive knowledge, priority access to research"
721,Exploration Task 721: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"146 XP, 21 coins",None
722,Innovation Task 722: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"147 XP, 22 coins",None
723,Spiritual Task 723: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"148 XP, 23 coins",None
724,Spiritual Task 724: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"149 XP, 24 coins",None
725,Social Task 725: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"150 XP, 25 coins",None
726,Engineering Task 726: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"151 XP, 26 coins",None
727,Survival Task 727: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"152 XP, 27 coins",None
728,Governance Task 728: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"153 XP, 28 coins",None
729,Innovation Task 729: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"154 XP, 29 coins",None
730,Innovation Task 730: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"155 XP, 20 coins",None
731,Governance Task 731: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"156 XP, 21 coins",None
732,Social Task 732: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"157 XP, 22 coins",None
733,Survival Task 733: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"158 XP, 23 coins",None
734,Social Task 734: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"159 XP, 24 coins",None
735,Education Task 735: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"160 XP, 25 coins",None
736,Innovation Task 736: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"161 XP, 26 coins",None
737,Exploration Task 737: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"162 XP, 27 coins",None
738,Spiritual Task 738: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"163 XP, 28 coins",None
739,Exploration Task 739: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"164 XP, 29 coins",None
740,Education Task 740: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"165 XP, 20 coins","Exclusive knowledge, priority access to research"
741,Social Task 741: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"166 XP, 21 coins",None
742,Governance Task 742: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"167 XP, 22 coins",None
743,Social Task 743: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"168 XP, 23 coins",None
744,Education Task 744: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"169 XP, 24 coins",None
745,Governance Task 745: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"170 XP, 25 coins",None
746,Creative Task 746: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"171 XP, 26 coins",None
747,Governance Task 747: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"172 XP, 27 coins",None
748,Social Task 748: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"173 XP, 28 coins",None
749,Survival Task 749: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"174 XP, 29 coins",None
750,Governance Task 750: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"100 XP, 20 coins",None
751,Spiritual Task 751: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"101 XP, 21 coins",None
752,Governance Task 752: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"102 XP, 22 coins",None
753,Creative Task 753: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"103 XP, 23 coins",None
754,Creative Task 754: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"104 XP, 24 coins",None
755,Fitness Task 755: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"105 XP, 25 coins",None
756,Social Task 756: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"106 XP, 26 coins",None
757,Governance Task 757: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"107 XP, 27 coins",None
758,Exploration Task 758: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"108 XP, 28 coins",None
759,Governance Task 759: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"109 XP, 29 coins",None
760,Social Task 760: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"110 XP, 20 coins","Exclusive knowledge, priority access to research"
761,Survival Task 761: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"111 XP, 21 coins",None
762,Education Task 762: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"112 XP, 22 coins",None
763,Exploration Task 763: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"113 XP, 23 coins",None
764,Spiritual Task 764: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"114 XP, 24 coins",None
765,Creative Task 765: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"115 XP, 25 coins",None
766,Survival Task 766: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"116 XP, 26 coins",None
767,Spiritual Task 767: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"117 XP, 27 coins",None
768,Engineering Task 768: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"118 XP, 28 coins",None
769,Fitness Task 769: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"119 XP, 29 coins",None
770,Spiritual Task 770: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"120 XP, 20 coins",None
771,Governance Task 771: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"121 XP, 21 coins",None
772,Fitness Task 772: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"122 XP, 22 coins",None
773,Engineering Task 773: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"123 XP, 23 coins",None
774,Engineering Task 774: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"124 XP, 24 coins",None
775,Creative Task 775: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"125 XP, 25 coins",None
776,Exploration Task 776: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"126 XP, 26 coins",None
777,Fitness Task 777: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"127 XP, 27 coins",None
778,Survival Task 778: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"128 XP, 28 coins",None
779,Creative Task 779: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"129 XP, 29 coins",None
780,Exploration Task 780: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"130 XP, 20 coins","Exclusive knowledge, priority access to research"
781,Engineering Task 781: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"131 XP, 21 coins",None
782,Engineering Task 782: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"132 XP, 22 coins",None
783,Exploration Task 783: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"133 XP, 23 coins",None
784,Engineering Task 784: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"134 XP, 24 coins",None
785,Fitness Task 785: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"135 XP, 25 coins",None
786,Fitness Task 786: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"136 XP, 26 coins",None
787,Innovation Task 787: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"137 XP, 27 coins",None
788,Education Task 788: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"138 XP, 28 coins",None
789,Survival Task 789: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"139 XP, 29 coins",None
790,Survival Task 790: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"140 XP, 20 coins",None
791,Creative Task 791: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"141 XP, 21 coins",None
792,Creative Task 792: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"142 XP, 22 coins",None
793,Governance Task 793: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"143 XP, 23 coins",None
794,Engineering Task 794: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"144 XP, 24 coins",None
795,Spiritual Task 795: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"145 XP, 25 coins",None
796,Innovation Task 796: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"146 XP, 26 coins",None
797,Survival Task 797: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"147 XP, 27 coins",None
798,Innovation Task 798: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"148 XP, 28 coins",None
799,Governance Task 799: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"149 XP, 29 coins",None
800,Social Task 800: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"150 XP, 20 coins","Exclusive knowledge, priority access to research"
801,Spiritual Task 801: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"151 XP, 21 coins",None
802,Social Task 802: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"152 XP, 22 coins",None
803,Engineering Task 803: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"153 XP, 23 coins",None
804,Spiritual Task 804: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"154 XP, 24 coins",None
805,Engineering Task 805: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"155 XP, 25 coins",None
806,Fitness Task 806: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"156 XP, 26 coins",None
807,Engineering Task 807: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"157 XP, 27 coins",None
808,Innovation Task 808: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"158 XP, 28 coins",None
809,Education Task 809: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"159 XP, 29 coins",None
810,Spiritual Task 810: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"160 XP, 20 coins",None
811,Exploration Task 811: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"161 XP, 21 coins",None
812,Creative Task 812: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"162 XP, 22 coins",None
813,Education Task 813: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"163 XP, 23 coins",None
814,Spiritual Task 814: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"164 XP, 24 coins",None
815,Social Task 815: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"165 XP, 25 coins",None
816,Governance Task 816: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"166 XP, 26 coins",None
817,Survival Task 817: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"167 XP, 27 coins",None
818,Governance Task 818: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"168 XP, 28 coins",None
819,Exploration Task 819: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"169 XP, 29 coins",None
820,Education Task 820: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"170 XP, 20 coins","Exclusive knowledge, priority access to research"
821,Innovation Task 821: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"171 XP, 21 coins",None
822,Exploration Task 822: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"172 XP, 22 coins",None
823,Social Task 823: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"173 XP, 23 coins",None
824,Social Task 824: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"174 XP, 24 coins",None
825,Engineering Task 825: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"100 XP, 25 coins",None
826,Engineering Task 826: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"101 XP, 26 coins",None
827,Creative Task 827: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"102 XP, 27 coins",None
828,Governance Task 828: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"103 XP, 28 coins",None
829,Creative Task 829: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"104 XP, 29 coins",None
830,Innovation Task 830: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"105 XP, 20 coins",None
831,Fitness Task 831: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"106 XP, 21 coins",None
832,Engineering Task 832: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"107 XP, 22 coins",None
833,Spiritual Task 833: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"108 XP, 23 coins",None
834,Exploration Task 834: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"109 XP, 24 coins",None
835,Innovation Task 835: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"110 XP, 25 coins",None
836,Spiritual Task 836: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"111 XP, 26 coins",None
837,Education Task 837: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"112 XP, 27 coins",None
838,Creative Task 838: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"113 XP, 28 coins",None
839,Creative Task 839: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"114 XP, 29 coins",None
840,Survival Task 840: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"115 XP, 20 coins","Exclusive knowledge, priority access to research"
841,Innovation Task 841: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"116 XP, 21 coins",None
842,Education Task 842: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"117 XP, 22 coins",None
843,Governance Task 843: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"118 XP, 23 coins",None
844,Exploration Task 844: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"119 XP, 24 coins",None
